year,resource,variable,units,magnitude,source,data_value,flag
2007,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,65622,R
2007,Biogas,Generation,Gigawatt hours,Actual,MBIE,224,F
2007,Biogas,Gigawatt hours,Number,Percent,MBIE,1,F
2007,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,,F
2007,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,,F
2007,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5250,R
2007,Coal,Generation,Gigawatt hours,Actual,MBIE,4786,F
2007,Gas,Generation,Gigawatt hours,Actual,MBIE,8055,R
2007,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,940377,R
2007,Geothermal,Generation,Gigawatt hours,Actual,MBIE,3210,F
2007,Geothermal,Gigawatt hours,Number,Percent,MBIE,8,F
2007,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,,F
2007,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,,F
2007,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,75230,R
2007,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,7103180,R
2007,Hydro,Generation,Gigawatt hours,Actual,MBIE,24249,F
2007,Hydro,Gigawatt hours,Number,Percent,MBIE,58,R
2007,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,,F
2007,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,,F
2007,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,568254,R
2007,Oil,Generation,Gigawatt hours,Actual,MBIE,3,F
2007,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,8425774,R
2007,Renewable,Generation,Gigawatt hours,Actual,MBIE,28765,F
2007,Renewable,Gigawatt hours,Number,Percent,MBIE,69,R
2007,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,,F
2007,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,,F
2007,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,674062,R
2007,Renewable,Resource rent,Number,Percent,Environmental Accounts,69,R
2007,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,247,R
2007,Solar,Generation,Gigawatt hours,Actual,MBIE,1,F
2007,Solar,Gigawatt hours,Number,Percent,MBIE,0,F
2007,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,,F
2007,Solar,Other changes,Dollars,Thousands,Environmental Accounts,,F
2007,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,20,F
2007,Total generation,Generation,Gigawatt hours,Actual,MBIE,41679,R
2007,Total generation,Prices,Number,Average,Electricity Authority,42,R
2007,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,976700,F
2007,Waste heat,Generation,Gigawatt hours,Actual,MBIE,71,F
2007,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,176867,R
2007,Wind,Generation,Gigawatt hours,Actual,MBIE,604,F
2007,Wind,Gigawatt hours,Number,Percent,MBIE,1,F
2007,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,,F
2007,Wind,Other changes,Dollars,Thousands,Environmental Accounts,,F
2007,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,14149,R
2007,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,139482,R
2007,Wood,Generation,Gigawatt hours,Actual,MBIE,476,F
2007,Wood,Gigawatt hours,Number,Percent,MBIE,1,F
2007,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,,F
2007,Wood,Other changes,Dollars,Thousands,Environmental Accounts,,F
2007,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,11159,R
2008,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,64361,R
2008,Biogas,Generation,Gigawatt hours,Actual,MBIE,205,F
2008,Biogas,Gigawatt hours,Number,Percent,MBIE,0,F
2008,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,65622,R
2008,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,-1261,R
2008,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5149,R
2008,Coal,Generation,Gigawatt hours,Actual,MBIE,3245,F
2008,Gas,Generation,Gigawatt hours,Actual,MBIE,10443,R
2008,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,1072269,R
2008,Geothermal,Generation,Gigawatt hours,Actual,MBIE,3417,F
2008,Geothermal,Gigawatt hours,Number,Percent,MBIE,8,F
2008,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,940377,R
2008,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,131892,R
2008,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,85782,R
2008,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,7096878,R
2008,Hydro,Generation,Gigawatt hours,Actual,MBIE,22616,F
2008,Hydro,Gigawatt hours,Number,Percent,MBIE,54,R
2008,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,7103180,R
2008,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,-6302,R
2008,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,567750,R
2008,Oil,Generation,Gigawatt hours,Actual,MBIE,27,F
2008,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,8709962,R
2008,Renewable,Generation,Gigawatt hours,Actual,MBIE,27756,F
2008,Renewable,Gigawatt hours,Number,Percent,MBIE,67,R
2008,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,8425774,R
